@RELATION svmModelTest
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Silence,Speech,Music,Activity}

@DATA
0.224319,0.005464,3.178275,0.331491,0.281656,1.915272,0.003090,0.469808,-24.524356,1.035324,0.117506,0.168793,-0.000823,0.026871,0.032452,0.013449,0.032462,0.112527,-0.001653,-0.006402,-0.024368,0.008980,0.004001,0.040877,0.006156,0.007094,0.007868,0.062541,0.002280,0.003936,0.007739,0.044093,0.003318,0.025208,0.035318,0.003771,0.176803,0.023744,0.010027,0.373646,0.002602,0.114667,0.571535,0.290814,0.174979,0.211151,0.142234,0.156217,0.156115,0.121589,0.132433,0.133058,0.153993,0.123026,0.120154,0.005114,0.003339,0.033650,0.002282,0.002780,0.006984,0.045983,0.001087,0.002028,0.003243,0.024924,0.002391,0.008330,Silence
0.176909,0.021490,3.160458,0.302107,0.277624,1.372918,0.004301,0.330906,-23.406299,1.492060,0.139585,0.114061,-0.174283,0.047405,0.102426,0.122692,0.037592,0.070226,0.034937,0.037867,0.042585,0.009095,0.008651,0.042968,0.010322,0.017783,0.006347,0.042845,0.001852,0.008423,0.009884,0.039604,0.003706,0.023626,0.059931,0.013892,0.121289,0.038585,0.010738,0.483787,0.002296,0.161488,0.668260,0.300922,0.332875,0.202154,0.267611,0.161979,0.271203,0.141225,0.174507,0.122764,0.169201,0.130844,0.149793,0.009748,0.012244,0.027885,0.008284,0.011053,0.006485,0.039886,0.001651,0.010984,0.010006,0.027418,0.003064,0.008825,Speech
0.196220,0.017951,3.194560,0.322655,0.282980,1.549512,0.003863,0.387075,-23.421944,1.169534,0.050978,0.030840,0.006536,0.080229,0.003238,0.033960,-0.046574,-0.123252,-0.097013,-0.133098,-0.037971,0.005624,0.005764,0.042385,0.015250,0.009979,0.004361,0.066162,0.002269,0.004758,0.005316,0.042714,0.002442,0.026813,0.037526,0.008662,0.056053,0.021973,0.007869,0.317591,0.001600,0.100051,0.363955,0.170777,0.186727,0.225333,0.131279,0.152862,0.117220,0.144069,0.103123,0.145913,0.160768,0.171421,0.128122,0.003330,0.008181,0.021369,0.011454,0.007094,0.002151,0.028516,0.002106,0.004973,0.002448,0.023560,0.001449,0.005740,Speech
0.123852,0.003096,3.181332,0.212833,0.216530,1.130227,0.005321,0.183601,-28.733290,1.824511,-0.828786,0.209157,0.110512,0.158877,0.144737,0.071439,0.137131,-0.084153,-0.064817,-0.046943,0.115158,0.011462,0.007466,0.032142,0.027884,0.016942,0.008821,0.020858,0.005089,0.007404,0.017850,0.040413,0.006296,0.018298,0.030349,0.003930,0.100640,0.030481,0.019643,0.325289,0.003001,0.064195,0.965472,0.494531,0.295802,0.275412,0.258401,0.206854,0.199096,0.161970,0.167755,0.159090,0.151350,0.140964,0.141682,0.010007,0.007130,0.018172,0.015299,0.012727,0.008800,0.012884,0.005332,0.006689,0.011387,0.025884,0.005498,0.006932,Speech
0.172742,0.021222,3.139450,0.298595,0.272716,1.331914,0.005729,0.310688,-23.693362,1.288826,0.026438,-0.028011,0.003694,0.167258,-0.022659,-0.058849,-0.038586,-0.078121,-0.172564,-0.211590,-0.164241,0.012916,0.007732,0.053718,0.016957,0.009332,0.004760,0.043110,0.003634,0.006956,0.013177,0.037921,0.002805,0.027175,0.064057,0.017012,0.184215,0.037858,0.019349,0.416455,0.002818,0.154120,0.764560,0.292160,0.341783,0.298517,0.203984,0.225631,0.197725,0.251432,0.171538,0.193017,0.251044,0.227216,0.245589,0.018316,0.010690,0.044144,0.017927,0.009004,0.004826,0.029854,0.007831,0.012176,0.022238,0.026677,0.002252,0.009942,Speech
0.176909,0.021490,3.160458,0.302107,0.277624,1.372918,0.004301,0.330906,-23.406299,1.492060,0.139585,0.114061,-0.174283,0.047405,0.102426,0.122692,0.037592,0.070226,0.034937,0.037867,0.042585,0.009095,0.008651,0.042968,0.010322,0.017783,0.006347,0.042845,0.001852,0.008423,0.009884,0.039604,0.003706,0.023626,0.059931,0.013892,0.121289,0.038585,0.010738,0.483787,0.002296,0.161488,0.668260,0.300922,0.332875,0.202154,0.267611,0.161979,0.271203,0.141225,0.174507,0.122764,0.169201,0.130844,0.149793,0.009748,0.012244,0.027885,0.008284,0.011053,0.006485,0.039886,0.001651,0.010984,0.010006,0.027418,0.003064,0.008825,Speech
0.196220,0.017951,3.194560,0.322655,0.282980,1.549512,0.003863,0.387075,-23.421944,1.169534,0.050978,0.030840,0.006536,0.080229,0.003238,0.033960,-0.046574,-0.123252,-0.097013,-0.133098,-0.037971,0.005624,0.005764,0.042385,0.015250,0.009979,0.004361,0.066162,0.002269,0.004758,0.005316,0.042714,0.002442,0.026813,0.037526,0.008662,0.056053,0.021973,0.007869,0.317591,0.001600,0.100051,0.363955,0.170777,0.186727,0.225333,0.131279,0.152862,0.117220,0.144069,0.103123,0.145913,0.160768,0.171421,0.128122,0.003330,0.008181,0.021369,0.011454,0.007094,0.002151,0.028516,0.002106,0.004973,0.002448,0.023560,0.001449,0.005740,Speech
0.172742,0.021222,3.139450,0.298595,0.272716,1.331914,0.005729,0.310688,-23.693362,1.288826,0.026438,-0.028011,0.003694,0.167258,-0.022659,-0.058849,-0.038586,-0.078121,-0.172564,-0.211590,-0.164241,0.012916,0.007732,0.053718,0.016957,0.009332,0.004760,0.043110,0.003634,0.006956,0.013177,0.037921,0.002805,0.027175,0.064057,0.017012,0.184215,0.037858,0.019349,0.416455,0.002818,0.154120,0.764560,0.292160,0.341783,0.298517,0.203984,0.225631,0.197725,0.251432,0.171538,0.193017,0.251044,0.227216,0.245589,0.018316,0.010690,0.044144,0.017927,0.009004,0.004826,0.029854,0.007831,0.012176,0.022238,0.026677,0.002252,0.009942,Speech
0.150466,0.040793,3.135048,0.279629,0.268340,1.122327,0.005558,0.246819,-22.751343,1.731820,0.114155,-0.025676,-0.406360,-0.002209,0.133147,0.217477,0.048639,0.096084,0.002767,0.078585,0.037590,0.007330,0.009945,0.036950,0.017892,0.019046,0.006663,0.027357,0.003949,0.003773,0.015987,0.034622,0.004707,0.020718,0.062731,0.029003,0.138801,0.046195,0.016574,0.413696,0.002706,0.141344,0.978144,0.410155,0.443614,0.220567,0.392138,0.248621,0.371711,0.175479,0.191819,0.151065,0.193602,0.146253,0.156431,0.006896,0.015849,0.023859,0.017474,0.012935,0.006478,0.022772,0.007951,0.003296,0.021194,0.033563,0.007608,0.007961,Speech
0.172679,0.028584,3.135099,0.303114,0.272294,1.375027,0.004945,0.317094,-23.130778,1.304489,0.076315,-0.056366,-0.021190,0.072812,-0.004650,0.070214,0.004700,-0.162443,-0.214479,-0.320180,-0.192886,0.009424,0.014387,0.053760,0.018294,0.006646,0.004048,0.041462,0.001656,0.005546,0.005652,0.029967,0.002440,0.023637,0.066841,0.018578,0.185726,0.040299,0.012938,0.500189,0.002866,0.159026,0.660370,0.350593,0.301657,0.296175,0.199974,0.211850,0.215469,0.189107,0.165562,0.166359,0.188070,0.243381,0.201103,0.008893,0.021817,0.035050,0.016864,0.004982,0.003814,0.035382,0.001528,0.007082,0.006929,0.020460,0.001719,0.009794,Speech
0.167287,0.026078,3.160874,0.296744,0.271788,1.283299,0.005852,0.312693,-23.445431,1.291309,0.100168,-0.026893,0.045652,0.135835,-0.051045,-0.031984,-0.045274,-0.082860,-0.273034,-0.299489,-0.195598,0.007444,0.007403,0.064231,0.025135,0.007941,0.002907,0.046350,0.001198,0.006947,0.012909,0.036112,0.001932,0.029898,0.045081,0.016214,0.187258,0.029844,0.013863,0.409784,0.002965,0.143948,0.592676,0.320540,0.350202,0.250845,0.198379,0.210064,0.196031,0.233470,0.163921,0.137861,0.231004,0.239016,0.220501,0.006037,0.008425,0.040372,0.021851,0.006170,0.001515,0.034009,0.000742,0.009246,0.019157,0.028095,0.001149,0.007860,Speech
0.178628,0.001159,3.124089,0.313788,0.283061,1.474202,0.004786,0.343667,-28.965630,1.277926,0.078129,0.114834,0.014944,0.144399,0.085223,0.015423,-0.057511,-0.165153,-0.186027,-0.091399,-0.076916,0.012684,0.005152,0.053662,0.017400,0.011486,0.006166,0.055141,0.002608,0.003384,0.006226,0.040568,0.003711,0.027259,0.049177,0.002193,0.161500,0.031165,0.010047,0.414007,0.002345,0.149628,0.596904,0.223183,0.247937,0.234132,0.183455,0.185454,0.177936,0.155526,0.160291,0.173827,0.187743,0.164848,0.171261,0.011536,0.006368,0.037207,0.017275,0.009403,0.005847,0.037133,0.003123,0.002595,0.004611,0.027652,0.003796,0.008626,Speech
0.191731,0.011259,3.207172,0.315527,0.281678,1.554850,0.003197,0.365934,-23.738219,1.240377,0.199612,0.052603,-0.015133,-0.002694,-0.095059,-0.054965,-0.096361,-0.013223,-0.033344,0.070237,-0.043781,0.013520,0.005318,0.039293,0.006406,0.013865,0.010988,0.070607,0.002097,0.003995,0.006237,0.041911,0.004440,0.026226,0.032077,0.003093,0.072193,0.015770,0.005560,0.324643,0.001406,0.089147,0.283870,0.188461,0.180009,0.165573,0.152920,0.155767,0.152241,0.136287,0.150566,0.142869,0.152740,0.157392,0.149659,0.012900,0.004560,0.023271,0.006024,0.010452,0.007913,0.036276,0.001541,0.002973,0.003971,0.024720,0.003395,0.008101,Music
0.161812,0.024139,3.184790,0.294842,0.271518,1.370353,0.002780,0.307360,-22.913698,1.360228,0.397350,0.105615,-0.197781,-0.231959,-0.264393,-0.209195,-0.083431,-0.139996,-0.108449,-0.020112,0.052855,0.012196,0.004595,0.045608,0.009666,0.044682,0.010274,0.052401,0.001876,0.004905,0.006447,0.030094,0.004674,0.030155,0.026284,0.005685,0.075076,0.017148,0.008290,0.279520,0.001308,0.079595,0.304466,0.188502,0.176135,0.171363,0.166947,0.158078,0.160916,0.156360,0.152143,0.147397,0.157230,0.161399,0.153442,0.008257,0.003070,0.025437,0.006576,0.013925,0.006265,0.027435,0.001453,0.003335,0.003429,0.019590,0.003578,0.008200,Music
0.049781,0.028378,3.165269,0.164713,0.213558,0.378415,0.005927,0.060375,-25.033553,2.464569,-0.154806,0.340718,0.101549,0.080051,0.013735,0.064074,0.231714,0.067159,0.032885,-0.064704,0.083834,0.013702,0.002501,0.030817,0.007943,0.009286,0.018531,0.182225,0.000678,0.006578,0.007406,0.047749,0.011718,0.055892,0.024475,0.019401,0.084667,0.028660,0.020243,0.217258,0.002790,0.039133,1.051627,0.738015,0.274303,0.418580,0.460603,0.396530,0.283699,0.185945,0.161822,0.142914,0.156263,0.143178,0.134741,0.021175,0.003072,0.020448,0.008022,0.006713,0.028089,0.131311,0.000859,0.009843,0.007198,0.030175,0.017426,0.031118,Music
0.191731,0.011259,3.207172,0.315527,0.281678,1.554850,0.003197,0.365934,-23.738219,1.240377,0.199612,0.052603,-0.015133,-0.002694,-0.095059,-0.054965,-0.096361,-0.013223,-0.033344,0.070237,-0.043781,0.013520,0.005318,0.039293,0.006406,0.013865,0.010988,0.070607,0.002097,0.003995,0.006237,0.041911,0.004440,0.026226,0.032077,0.003093,0.072193,0.015770,0.005560,0.324643,0.001406,0.089147,0.283870,0.188461,0.180009,0.165573,0.152920,0.155767,0.152241,0.136287,0.150566,0.142869,0.152740,0.157392,0.149659,0.012900,0.004560,0.023271,0.006024,0.010452,0.007913,0.036276,0.001541,0.002973,0.003971,0.024720,0.003395,0.008101,Music
0.161812,0.024139,3.184790,0.294842,0.271518,1.370353,0.002780,0.307360,-22.913698,1.360228,0.397350,0.105615,-0.197781,-0.231959,-0.264393,-0.209195,-0.083431,-0.139996,-0.108449,-0.020112,0.052855,0.012196,0.004595,0.045608,0.009666,0.044682,0.010274,0.052401,0.001876,0.004905,0.006447,0.030094,0.004674,0.030155,0.026284,0.005685,0.075076,0.017148,0.008290,0.279520,0.001308,0.079595,0.304466,0.188502,0.176135,0.171363,0.166947,0.158078,0.160916,0.156360,0.152143,0.147397,0.157230,0.161399,0.153442,0.008257,0.003070,0.025437,0.006576,0.013925,0.006265,0.027435,0.001453,0.003335,0.003429,0.019590,0.003578,0.008200,Music
0.191731,0.011259,3.207172,0.315527,0.281678,1.554850,0.003197,0.365934,-23.738219,1.240377,0.199612,0.052603,-0.015133,-0.002694,-0.095059,-0.054965,-0.096361,-0.013223,-0.033344,0.070237,-0.043781,0.013520,0.005318,0.039293,0.006406,0.013865,0.010988,0.070607,0.002097,0.003995,0.006237,0.041911,0.004440,0.026226,0.032077,0.003093,0.072193,0.015770,0.005560,0.324643,0.001406,0.089147,0.283870,0.188461,0.180009,0.165573,0.152920,0.155767,0.152241,0.136287,0.150566,0.142869,0.152740,0.157392,0.149659,0.012900,0.004560,0.023271,0.006024,0.010452,0.007913,0.036276,0.001541,0.002973,0.003971,0.024720,0.003395,0.008101,Music
0.161812,0.024139,3.184790,0.294842,0.271518,1.370353,0.002780,0.307360,-22.913698,1.360228,0.397350,0.105615,-0.197781,-0.231959,-0.264393,-0.209195,-0.083431,-0.139996,-0.108449,-0.020112,0.052855,0.012196,0.004595,0.045608,0.009666,0.044682,0.010274,0.052401,0.001876,0.004905,0.006447,0.030094,0.004674,0.030155,0.026284,0.005685,0.075076,0.017148,0.008290,0.279520,0.001308,0.079595,0.304466,0.188502,0.176135,0.171363,0.166947,0.158078,0.160916,0.156360,0.152143,0.147397,0.157230,0.161399,0.153442,0.008257,0.003070,0.025437,0.006576,0.013925,0.006265,0.027435,0.001453,0.003335,0.003429,0.019590,0.003578,0.008200,Music
0.161812,0.024139,3.184790,0.294842,0.271518,1.370353,0.002780,0.307360,-22.913698,1.360228,0.397350,0.105615,-0.197781,-0.231959,-0.264393,-0.209195,-0.083431,-0.139996,-0.108449,-0.020112,0.052855,0.012196,0.004595,0.045608,0.009666,0.044682,0.010274,0.052401,0.001876,0.004905,0.006447,0.030094,0.004674,0.030155,0.026284,0.005685,0.075076,0.017148,0.008290,0.279520,0.001308,0.079595,0.304466,0.188502,0.176135,0.171363,0.166947,0.158078,0.160916,0.156360,0.152143,0.147397,0.157230,0.161399,0.153442,0.008257,0.003070,0.025437,0.006576,0.013925,0.006265,0.027435,0.001453,0.003335,0.003429,0.019590,0.003578,0.008200,Music
0.161812,0.024139,3.184790,0.294842,0.271518,1.370353,0.002780,0.307360,-22.913698,1.360228,0.397350,0.105615,-0.197781,-0.231959,-0.264393,-0.209195,-0.083431,-0.139996,-0.108449,-0.020112,0.052855,0.012196,0.004595,0.045608,0.009666,0.044682,0.010274,0.052401,0.001876,0.004905,0.006447,0.030094,0.004674,0.030155,0.026284,0.005685,0.075076,0.017148,0.008290,0.279520,0.001308,0.079595,0.304466,0.188502,0.176135,0.171363,0.166947,0.158078,0.160916,0.156360,0.152143,0.147397,0.157230,0.161399,0.153442,0.008257,0.003070,0.025437,0.006576,0.013925,0.006265,0.027435,0.001453,0.003335,0.003429,0.019590,0.003578,0.008200,Music
0.161812,0.024139,3.184790,0.294842,0.271518,1.370353,0.002780,0.307360,-22.913698,1.360228,0.397350,0.105615,-0.197781,-0.231959,-0.264393,-0.209195,-0.083431,-0.139996,-0.108449,-0.020112,0.052855,0.012196,0.004595,0.045608,0.009666,0.044682,0.010274,0.052401,0.001876,0.004905,0.006447,0.030094,0.004674,0.030155,0.026284,0.005685,0.075076,0.017148,0.008290,0.279520,0.001308,0.079595,0.304466,0.188502,0.176135,0.171363,0.166947,0.158078,0.160916,0.156360,0.152143,0.147397,0.157230,0.161399,0.153442,0.008257,0.003070,0.025437,0.006576,0.013925,0.006265,0.027435,0.001453,0.003335,0.003429,0.019590,0.003578,0.008200,Music
0.186622,0.033121,3.211029,0.313399,0.281945,1.508705,0.003206,0.353542,-22.280992,1.271339,0.202142,0.044359,-0.015352,-0.011387,-0.095819,-0.073099,-0.115876,-0.039039,-0.056285,0.071607,-0.037876,0.014251,0.005465,0.040891,0.006343,0.014063,0.011140,0.069121,0.002084,0.003997,0.005666,0.042078,0.004732,0.026101,0.031578,0.009749,0.064097,0.014687,0.005271,0.318139,0.001464,0.087756,0.293369,0.200655,0.183574,0.157566,0.154982,0.162024,0.152235,0.138836,0.146785,0.154535,0.152567,0.160703,0.157501,0.013881,0.005638,0.024337,0.005108,0.012371,0.007552,0.032506,0.001583,0.002764,0.003712,0.024819,0.003847,0.007233,Music
0.229464,0.000713,3.003422,0.343756,0.283226,1.921831,0.003515,0.494038,-29.059740,0.938866,0.079053,0.213968,0.103230,0.106669,0.039425,0.020469,-0.011279,0.012788,0.015825,0.032847,0.003598,0.007266,0.003092,0.040426,0.006252,0.009439,0.005200,0.064670,0.002444,0.004156,0.008014,0.041256,0.003954,0.023897,0.044687,0.001155,0.390017,0.032781,0.011224,0.413203,0.001932,0.121514,1.103090,0.361458,0.297391,0.208657,0.191204,0.171352,0.162946,0.145562,0.162922,0.139506,0.155258,0.146596,0.149300,0.004753,0.002155,0.029581,0.004574,0.005589,0.003420,0.042450,0.001624,0.002663,0.005807,0.026440,0.003485,0.010987,Activity
0.211035,0.003040,3.141635,0.327556,0.281932,1.732960,0.003740,0.413969,-25.617520,0.924397,0.088992,0.225458,0.014442,0.128569,-0.017453,0.052350,-0.015394,0.001649,0.017440,0.032898,0.006273,0.006992,0.002801,0.039116,0.005933,0.009484,0.005567,0.064940,0.001897,0.003718,0.007226,0.052462,0.002949,0.025574,0.042323,0.002224,0.146753,0.018137,0.012191,0.433501,0.002066,0.125373,0.489989,0.328894,0.180760,0.181450,0.170175,0.180085,0.194828,0.158035,0.160082,0.142667,0.153790,0.146369,0.120700,0.004565,0.002027,0.023524,0.003988,0.007007,0.003982,0.041773,0.001116,0.002612,0.005893,0.032449,0.002081,0.009421,Activity
0.252441,0.029477,3.254516,0.326515,0.252007,2.253102,0.002352,0.486437,-22.422777,0.630602,-0.861663,0.295899,0.353719,0.181587,0.089431,-0.039303,0.254259,-0.021109,-0.113285,-0.109152,0.182649,0.010359,0.005742,0.017401,0.014085,0.006797,0.004939,0.010978,0.004253,0.004553,0.012995,0.027076,0.007367,0.008854,0.081828,0.023322,0.046810,0.061962,0.016356,0.466405,0.000686,0.170086,0.639269,0.497817,0.185589,0.150884,0.203446,0.149107,0.140049,0.164312,0.148493,0.156459,0.124482,0.124895,0.118911,0.008732,0.005785,0.012883,0.007531,0.003621,0.002375,0.006848,0.003812,0.002541,0.008042,0.015748,0.006058,0.004269,Activity
0.229464,0.000713,3.003422,0.343756,0.283226,1.921831,0.003515,0.494038,-29.059740,0.938866,0.079053,0.213968,0.103230,0.106669,0.039425,0.020469,-0.011279,0.012788,0.015825,0.032847,0.003598,0.007266,0.003092,0.040426,0.006252,0.009439,0.005200,0.064670,0.002444,0.004156,0.008014,0.041256,0.003954,0.023897,0.044687,0.001155,0.390017,0.032781,0.011224,0.413203,0.001932,0.121514,1.103090,0.361458,0.297391,0.208657,0.191204,0.171352,0.162946,0.145562,0.162922,0.139506,0.155258,0.146596,0.149300,0.004753,0.002155,0.029581,0.004574,0.005589,0.003420,0.042450,0.001624,0.002663,0.005807,0.026440,0.003485,0.010987,Activity
0.211035,0.003040,3.141635,0.327556,0.281932,1.732960,0.003740,0.413969,-25.617520,0.924397,0.088992,0.225458,0.014442,0.128569,-0.017453,0.052350,-0.015394,0.001649,0.017440,0.032898,0.006273,0.006992,0.002801,0.039116,0.005933,0.009484,0.005567,0.064940,0.001897,0.003718,0.007226,0.052462,0.002949,0.025574,0.042323,0.002224,0.146753,0.018137,0.012191,0.433501,0.002066,0.125373,0.489989,0.328894,0.180760,0.181450,0.170175,0.180085,0.194828,0.158035,0.160082,0.142667,0.153790,0.146369,0.120700,0.004565,0.002027,0.023524,0.003988,0.007007,0.003982,0.041773,0.001116,0.002612,0.005893,0.032449,0.002081,0.009421,Activity
0.229464,0.000713,3.003422,0.343756,0.283226,1.921831,0.003515,0.494038,-29.059740,0.938866,0.079053,0.213968,0.103230,0.106669,0.039425,0.020469,-0.011279,0.012788,0.015825,0.032847,0.003598,0.007266,0.003092,0.040426,0.006252,0.009439,0.005200,0.064670,0.002444,0.004156,0.008014,0.041256,0.003954,0.023897,0.044687,0.001155,0.390017,0.032781,0.011224,0.413203,0.001932,0.121514,1.103090,0.361458,0.297391,0.208657,0.191204,0.171352,0.162946,0.145562,0.162922,0.139506,0.155258,0.146596,0.149300,0.004753,0.002155,0.029581,0.004574,0.005589,0.003420,0.042450,0.001624,0.002663,0.005807,0.026440,0.003485,0.010987,Activity
0.211035,0.003040,3.141635,0.327556,0.281932,1.732960,0.003740,0.413969,-25.617520,0.924397,0.088992,0.225458,0.014442,0.128569,-0.017453,0.052350,-0.015394,0.001649,0.017440,0.032898,0.006273,0.006992,0.002801,0.039116,0.005933,0.009484,0.005567,0.064940,0.001897,0.003718,0.007226,0.052462,0.002949,0.025574,0.042323,0.002224,0.146753,0.018137,0.012191,0.433501,0.002066,0.125373,0.489989,0.328894,0.180760,0.181450,0.170175,0.180085,0.194828,0.158035,0.160082,0.142667,0.153790,0.146369,0.120700,0.004565,0.002027,0.023524,0.003988,0.007007,0.003982,0.041773,0.001116,0.002612,0.005893,0.032449,0.002081,0.009421,Activity
0.211035,0.003040,3.141635,0.327556,0.281932,1.732960,0.003740,0.413969,-25.617520,0.924397,0.088992,0.225458,0.014442,0.128569,-0.017453,0.052350,-0.015394,0.001649,0.017440,0.032898,0.006273,0.006992,0.002801,0.039116,0.005933,0.009484,0.005567,0.064940,0.001897,0.003718,0.007226,0.052462,0.002949,0.025574,0.042323,0.002224,0.146753,0.018137,0.012191,0.433501,0.002066,0.125373,0.489989,0.328894,0.180760,0.181450,0.170175,0.180085,0.194828,0.158035,0.160082,0.142667,0.153790,0.146369,0.120700,0.004565,0.002027,0.023524,0.003988,0.007007,0.003982,0.041773,0.001116,0.002612,0.005893,0.032449,0.002081,0.009421,Activity
0.211035,0.003040,3.141635,0.327556,0.281932,1.732960,0.003740,0.413969,-25.617520,0.924397,0.088992,0.225458,0.014442,0.128569,-0.017453,0.052350,-0.015394,0.001649,0.017440,0.032898,0.006273,0.006992,0.002801,0.039116,0.005933,0.009484,0.005567,0.064940,0.001897,0.003718,0.007226,0.052462,0.002949,0.025574,0.042323,0.002224,0.146753,0.018137,0.012191,0.433501,0.002066,0.125373,0.489989,0.328894,0.180760,0.181450,0.170175,0.180085,0.194828,0.158035,0.160082,0.142667,0.153790,0.146369,0.120700,0.004565,0.002027,0.023524,0.003988,0.007007,0.003982,0.041773,0.001116,0.002612,0.005893,0.032449,0.002081,0.009421,Activity
0.211035,0.003040,3.141635,0.327556,0.281932,1.732960,0.003740,0.413969,-25.617520,0.924397,0.088992,0.225458,0.014442,0.128569,-0.017453,0.052350,-0.015394,0.001649,0.017440,0.032898,0.006273,0.006992,0.002801,0.039116,0.005933,0.009484,0.005567,0.064940,0.001897,0.003718,0.007226,0.052462,0.002949,0.025574,0.042323,0.002224,0.146753,0.018137,0.012191,0.433501,0.002066,0.125373,0.489989,0.328894,0.180760,0.181450,0.170175,0.180085,0.194828,0.158035,0.160082,0.142667,0.153790,0.146369,0.120700,0.004565,0.002027,0.023524,0.003988,0.007007,0.003982,0.041773,0.001116,0.002612,0.005893,0.032449,0.002081,0.009421,Activity
0.220596,0.000860,2.953227,0.339240,0.281095,1.916492,0.003595,0.477750,-28.839855,0.930726,0.081484,0.240067,0.107543,0.127118,0.052411,0.032384,-0.001423,0.015544,0.002726,0.033781,0.022244,0.007477,0.003266,0.041301,0.006488,0.009499,0.005518,0.061092,0.002486,0.004276,0.008010,0.041481,0.003963,0.022946,0.043859,0.001612,0.476009,0.035206,0.012569,0.449226,0.001975,0.135321,1.355551,0.365250,0.320665,0.227688,0.188931,0.155825,0.175640,0.140151,0.174552,0.160658,0.155733,0.143221,0.157745,0.004586,0.002237,0.030475,0.004658,0.006237,0.003661,0.039098,0.001831,0.002439,0.006228,0.027010,0.003475,0.010511,Activity
